feature	diet_dairy	diet_meat	time_baseline	time_endpoint	n_embeddings	max_hits	predicted_class	avg_probability	21tdsqsa	7o4yga2v	8lofhbbf	ai9n4jxs	q2gzu1o3	qb4y98x0	wcksnlsg
K07751	1	6	7	0	7	7	time_baseline	0.8796849780815161	0.929100918188092	0.9902407347686684	0.5532815416965577	0.9142056459161078	0.8050893090878724	0.999634408245432	0.9662422886678826
ENOG410Z8VE	1	6	7	0	7	7	time_baseline	0.852754528703737	0.8037098866633663	0.984072243356473	0.7220545527815939	0.9717503777036146	0.8496273905728495	0.9775836127167528	0.6604836371315088
K07738	0	7	5	2	7	7	diet_meat	0.7190711479507568	0.7847843061666001	0.7113781306486103	0.9949725719546726	0.6173871023522908	0.7668967689407216	0.5538439955615088	0.6042351600308933
P_AQ.1664	2	5	7	0	7	7	time_baseline	0.7330323090996487	0.7849285586861163	0.9807114509140692	0.7939026321642928	0.8843831925334924	0.5206605063773597	0.6665953196329634	0.5000445033892464
ENOG410ZCG0	1	6	7	0	7	7	time_baseline	0.7932747534299452	0.9504458153402584	0.996427255202517	0.6019383619863683	0.7325195785131999	0.9159573688932126	0.5166549062063737	0.8389799878676869
K07715	2	5	7	0	7	7	time_baseline	0.8245365093990765	0.7038078176729002	0.9937738468371216	0.666463245893956	0.5963188305301993	0.9599939637841718	0.9999279101021132	0.8514699509730727
K07710	4	3	7	0	7	7	time_baseline	0.8163051021241119	0.8022191814356227	0.9794344748489512	0.860491717709425	0.8265017510687425	0.7535849041939671	0.9790282697103504	0.5128754159017246
K07700	2	5	7	0	7	7	time_baseline	0.7692942760891187	0.9403779163879364	0.5813736871694368	0.858853057526475	0.9320760776153976	0.8724996444780667	0.6354773708696942	0.5644021785768245
K07690	2	5	7	0	7	7	time_baseline	0.8645066983020687	0.950431728313626	0.8552559592542037	0.6895211971361785	0.9657537503652412	0.9499681704371102	0.8516793510594617	0.7889367315486597
K07686	0	7	7	0	7	7	diet_meat	0.7273239544144634	0.6104067876568046	0.7718915697232009	0.9520619026447674	0.8700333599490129	0.6038529526410046	0.736241888858268	0.5467792194281854
K07684	2	5	7	0	7	7	time_baseline	0.8615819363313847	0.9640203830889176	0.8632424913728787	0.8067799291036085	0.7802506958229276	0.7306159279961187	0.9759733203993946	0.910190806535847
P_AQ.1014	0	7	6	1	7	7	diet_meat	0.7576306895239311	0.5731289601541986	0.7711474755552026	0.9734263533163052	0.5090513289798536	0.9472462423896778	0.5935582542775519	0.935856211994728
P_AQ.1018	4	3	7	0	7	7	time_baseline	0.8242847976429769	0.9797492068528352	0.912293768415854	0.8223170142813316	0.8837914846661369	0.909398180407371	0.5449836105942041	0.717460318283106
P_AQ.1023	4	3	7	0	7	7	time_baseline	0.8278950696068215	0.8248654995229385	0.970088912701926	0.8977553018468449	0.9883881066444276	0.5206027536577952	0.7237074994626229	0.8698574134111948
K07677	4	3	7	0	7	7	time_baseline	0.7907260735393589	0.8962063568855261	0.9781068684683044	0.5893690562025414	0.8544637016900791	0.5170115906642401	0.9433851790461883	0.756539761818632
ENOG410ZEYT	3	4	0	7	7	7	time_endpoint	0.8677908513175776	0.7218431946588942	0.9985919832633108	0.7397659016708269	0.9957564786899542	0.8697223560082082	0.7570152719183413	0.9918407730135071
K07664	1	6	7	0	7	7	time_baseline	0.8865271915072247	0.9838467606028743	0.9837922666647853	0.6989969395503243	0.947549646229396	0.8429726426682292	0.8302513549922662	0.9182807298426976
P_AQ.1245	1	6	7	0	7	7	time_baseline	0.7592583407171849	0.8071665732617403	0.8504405506176155	0.6766929271269176	0.9149338905277772	0.767972517161939	0.7164483373853742	0.5811535889389305
ENOG410ZFWF	4	3	0	7	7	7	time_endpoint	0.8159407202152487	0.9935121771422658	0.8589286314847366	0.5973890833015548	0.8599624675055823	0.7332087874699423	0.7931769320923714	0.8754069625102884
K07658	4	3	0	7	7	7	time_endpoint	0.8168665419688137	0.560666409109976	0.9791364829686684	0.5414074468694509	0.9833871550652444	0.9417777970158328	0.9861273159084908	0.7255631868440315
P_LP.231	5	2	0	7	7	7	time_endpoint	0.8043564423280418	0.9422110773380704	0.9027199074140092	0.6191557175116923	0.7744674537692283	0.8007771751145789	0.810013127217027	0.7811506379316865
P_AQ.1406	1	6	7	0	7	7	time_baseline	0.8306889691089915	0.7002966839004839	0.9967609381052768	0.5083627918179818	0.9874433165692744	0.8716229991579217	0.862751629111722	0.8875844251002789
P_LP.2307	2	5	7	0	7	7	time_baseline	0.7920563670624181	0.9707764308303648	0.6903216666138146	0.5558033684461547	0.8826700823415851	0.8410665963534751	0.7207611122886055	0.882995312562926
P_AQ.1438	0	7	7	0	7	7	diet_meat	0.8052074383976132	0.6094114753923723	0.7743988136618162	0.9641706826735298	0.7729748708190323	0.9615514310935116	0.9181054576075124	0.6358393375355177
ENOG410ZGTQ	0	7	2	5	7	7	diet_meat	0.774880228580689	0.6470948761953874	0.8453999432447109	0.9976090098860856	0.6609650422375388	0.915196315716775	0.6464660070189964	0.7114304057653286
ENOG410ZHQ7	1	6	7	0	7	7	time_baseline	0.8121153350084251	0.9807862829469726	0.9606810537479022	0.5881896136123677	0.8917335954382644	0.754970073994844	0.937243341798196	0.5712033835204289
P_AQ.1511	0	7	6	1	7	7	diet_meat	0.6588125399570951	0.5114831218615524	0.792651964522202	0.9942319641622344	0.6556000050569846	0.5495801126743804	0.5264871178567047	0.5816534935656072
K07637	3	4	7	0	7	7	time_baseline	0.8576924841734045	0.7682725287273005	0.92619826132149	0.7482874480700077	0.9356874119037676	0.8086930769149684	0.9770648501506038	0.8396438121256933
ENOG410ZPTT	1	6	7	0	7	7	time_baseline	0.8641993040590314	0.9522242700329792	0.8688317050743133	0.6360528998242141	0.8898905396755388	0.7354575453717431	0.9957514725333554	0.9711866959010764
K07310	5	2	7	0	7	7	time_baseline	0.718634769029643	0.5880715934378558	0.8207341207693155	0.5119998666608379	0.8949472829487932	0.6738690988197641	0.5826843979156289	0.9581370226553048
K07308	4	3	7	0	7	7	time_baseline	0.8279038213202948	0.9084537595095278	0.5874396250512908	0.7770881503648447	0.9411914872026704	0.9368702239443496	0.8550976738231255	0.7891858293462545
K07305	2	5	7	0	7	7	time_baseline	0.8037261081657185	0.9765112016064104	0.9236114291560544	0.728371594583439	0.9045505938900124	0.5177215359904497	0.6870140358071433	0.8883023661265211
K07090	0	7	4	3	7	7	diet_meat	0.8298594021589143	0.7144159509236847	0.789503489241065	0.9977874843698824	0.7534250272322055	0.8812359230380619	0.7608715944935981	0.9117763458139024
ENOG410ZVKR	0	7	6	1	7	7	diet_meat	0.7140657586905931	0.5150064549965186	0.5599229584954487	0.9787170427449436	0.8467518495363501	0.6308133487302849	0.756699736620539	0.7105489197100663
ENOG410ZVNJ	2	5	7	0	7	7	time_baseline	0.8675264151117299	0.9791220196302152	0.9763828964696752	0.7609023221118322	0.9830637954113588	0.5308109357691588	0.96558402026011	0.87681891612976
K07084	3	4	0	7	7	7	time_endpoint	0.7932973918865408	0.527849484076202	0.9956835522198426	0.7781523893051104	0.738794707036582	0.8871093005653549	0.8082170229658046	0.8172752870368892
P_LP.2229	3	4	7	0	7	7	time_baseline	0.6783954065852232	0.5025486469686133	0.9946909257673442	0.6165256033017502	0.5346206841483021	0.5418628772470969	0.9680007804595911	0.5905183282038653
ENOG410ZVPT	4	3	0	7	7	7	time_endpoint	0.8002765498880411	0.9654100671195024	0.916394915088431	0.5827436154659243	0.685020121914033	0.8383947937473888	0.76787517574255	0.8460971601384578
N_LP.1087	0	7	5	2	7	7	diet_meat	0.7786089913603773	0.6677084817347148	0.8432552348238332	0.9923942585647204	0.7959430476377665	0.6213486162079346	0.6618958254303158	0.8677174751233563
ENOG410ZVQG	0	7	5	2	7	7	diet_meat	0.7496591286778769	0.5358854243601344	0.7419496320363445	0.9491251114504364	0.8926026511905845	0.509367096397359	0.9464031720635692	0.6722808132467106
N_LP.109	0	7	6	1	7	7	diet_meat	0.7842424270088079	0.724136762420311	0.8215718012306598	0.9913445303373892	0.8727663838604339	0.6818661214732445	0.8738187129131293	0.5241926768264878
K07062	0	7	4	3	7	7	diet_meat	0.8170266878432761	0.7497934466740163	0.656929172683916	0.9951229607881068	0.7536239000589767	0.8490498444294217	0.8354540898377535	0.8792134004307417
K07053	0	7	7	0	7	7	diet_meat	0.685096423801135	0.6761708495106188	0.6032791566678555	0.5751998195369596	0.5916562993022786	0.9407923959062864	0.7843945492589759	0.62418189642497
N_LP.1093	0	7	5	2	7	7	diet_meat	0.7006755675097437	0.5393837879203207	0.73802150185977	0.7410498519425169	0.6924188180340191	0.6148747353481525	0.7062222618827098	0.8727580155807161
ENOG410ZVS8	5	2	7	0	7	7	time_baseline	0.8601873783021388	0.9007398188994384	0.9879358952244988	0.7704233181095397	0.9499122744005865	0.6178091078430747	0.9364211723017988	0.8580700613360343
ENOG410ZVW5	3	4	7	0	7	7	time_baseline	0.7146581115032938	0.6678927599066709	0.9967108873026492	0.5479470803843962	0.916843275993198	0.5486002516863604	0.7431477421814774	0.5814647830683046
P_LP.2218	0	7	6	1	7	7	diet_meat	0.8064440187912698	0.8346202050422927	0.7479270904962129	0.9681795358371356	0.5850595103745309	0.9425080643573108	0.6778940483243997	0.888919677107006
K07034	1	6	7	0	7	7	time_baseline	0.7612777786894485	0.8778890626056345	0.6821115692124367	0.8779847627950949	0.6745332036304064	0.7740151144369847	0.8833108099653354	0.559099928180246
ENOG410ZVWB	0	7	4	3	7	7	diet_meat	0.7520830483414124	0.8940502913186291	0.6020212427788926	0.8202263381961212	0.6730279364714995	0.97583676882876	0.7802125405576392	0.5192062202383442
K07032	5	2	7	0	7	7	time_baseline	0.7797844335276093	0.8594372795291861	0.5190917232290764	0.5488849612613488	0.944249160145788	0.7718357465752255	0.9273244267194892	0.8876677372331508
ENOG410ZVWW	2	5	7	0	7	7	time_baseline	0.8188424241265089	0.9391539608874936	0.9440044745885108	0.6472337117328335	0.9639788606509764	0.904384680950468	0.7516946772965554	0.5814466027787245
K07015	5	2	0	7	7	7	time_endpoint	0.7586695960601679	0.8333497700838983	0.8890316277579595	0.6073934471660583	0.9985641157683138	0.7380083692084751	0.65559362755896	0.5887462148775107
N_LP.1108	2	5	7	0	7	7	time_baseline	0.7496412269772575	0.9990122019765548	0.6449962393469013	0.6473159279130282	0.7864316266001284	0.5383154950514384	0.8762139290826407	0.7552031688701109
K07010	3	4	0	7	7	7	time_endpoint	0.7564562095429767	0.9867479988102632	0.736887031987991	0.6747348474981232	0.815215078933473	0.5793324618536064	0.6810497822014492	0.82122626551593
N_LP.111	3	4	7	0	7	7	time_baseline	0.8596975731313454	0.6245866437442054	0.9959074636572772	0.9050950760920796	0.9088041368826176	0.8032892339005072	0.9350908027263186	0.8451096549164114
ENOG410ZVZG	5	2	0	7	7	7	time_endpoint	0.7928576042171401	0.8220901397954553	0.9389417091939984	0.7566757085424565	0.9553167583330816	0.5761079132940843	0.962447465761165	0.5384235345997403
K07005	0	7	6	1	7	7	diet_meat	0.7897810655419171	0.7787331422188982	0.6071692568467508	0.9665489226365916	0.6131492932642445	0.8729096127669708	0.7405473212968763	0.9494099097630874
ENOG410ZW2I	4	3	0	7	7	7	time_endpoint	0.7672122353925468	0.8066183368838871	0.609535998608338	0.506670307590568	0.9263699604611592	0.9249489019194148	0.9308619991913484	0.6654801430931125
K07000	4	3	7	0	7	7	time_baseline	0.7340272571157912	0.7138487741210942	0.6625382057776734	0.7118647139980088	0.764882025602998	0.7303102068941179	0.7946827982604423	0.760064075156204
K06980	2	5	7	0	7	7	time_baseline	0.757231985813976	0.6680286748830867	0.7401823166131452	0.6804401785665115	0.9032990952744996	0.8818133214057049	0.8126714063178838	0.6141889076370004
N_LP.112	0	7	5	2	7	7	diet_meat	0.8054781471530286	0.5909994832832418	0.794024024465511	0.999222415310652	0.6667357860374904	0.9449290170301844	0.6785640749281355	0.9638722290159856
P_LP.2236	3	4	0	7	7	7	time_endpoint	0.803274031319779	0.9812497633611764	0.9497243030798688	0.6040924644801777	0.8713914971087094	0.8147858210534354	0.5643530324140131	0.8373213377410728
K07114	4	3	7	0	7	7	time_baseline	0.7647497716461817	0.7949466778134242	0.6986081054037603	0.9085266177490906	0.6009456974437994	0.8631411968189038	0.7231860353969014	0.7638940708973928
K07120	2	5	7	0	7	7	time_baseline	0.8201651625819018	0.9692484093657892	0.992990423159106	0.7355871388164208	0.7398387847960245	0.5126625694834971	0.9992219562732196	0.7916068561792556
K07230	0	7	6	1	7	7	diet_meat	0.8250310591585731	0.8019273676107547	0.6582807611669365	0.9798026122621972	0.7998176762799694	0.8612951241666298	0.732925530673219	0.9411683419503056
K07301	4	3	0	7	7	7	time_endpoint	0.9051418999875293	0.978066598631065	0.9998019550739832	0.7324193035340668	0.956485695073721	0.7107986137921916	0.9606803123731008	0.9977408214345764
N_LP.1016	3	4	0	7	7	7	time_endpoint	0.8315634282259492	0.6860154042963013	0.7532884285574198	0.6623521399556769	0.8804073709288688	0.9254455277887798	0.9778577817214368	0.9355773443331612
ENOG410ZQ51	2	5	0	7	7	7	time_endpoint	0.8257089031156152	0.7304326783786299	0.9999824846616544	0.6933825652140646	0.8578683092145137	0.9812038902972088	0.79542078830621	0.7216716057370254
N_LP.1019	4	3	0	7	7	7	time_endpoint	0.7766986571148234	0.9622968731703028	0.6235045751645576	0.5585165920708551	0.6979972373367623	0.8189385620779912	0.9953822359873497	0.7802545239959459
P_LP.2265	0	7	5	2	7	7	diet_meat	0.7865864108023078	0.5015139061934282	0.6607377189596738	0.9948979463250937	0.8193515712497351	0.7216226935494617	0.8460133478595615	0.9619676914792008
N_LP.1021	3	4	7	0	7	7	time_baseline	0.8175936116205784	0.9966704181125678	0.9890187880645288	0.6788856840268809	0.6275848519584718	0.7479166408752649	0.7979485508561188	0.885130347450215
K07283	3	4	7	0	7	7	time_baseline	0.8093029644707659	0.8117226907276311	0.9981871801059112	0.6040602788897315	0.6465324947175695	0.6330303484738837	0.986452067067602	0.985135691313032
K07275	0	7	7	0	7	7	diet_meat	0.8094155774355384	0.5928104122832483	0.7735710527115501	0.9991613255682884	0.6689852013246562	0.9286209043194992	0.9792422013853606	0.7235179444561655
ENOG410ZSYZ	0	7	3	4	7	7	diet_meat	0.8367368570937749	0.8707465037734099	0.7023328948012545	0.9996439078064784	0.7396598669269384	0.917968132484762	0.7201021415448237	0.906704552318758
K07250	0	7	5	2	7	7	diet_meat	0.767729034754857	0.6761272967769474	0.6521750400586722	0.9992472673350224	0.7319223803964094	0.7322827667480963	0.6686257614329937	0.9137227305358574
K07243	0	7	5	2	7	7	diet_meat	0.8459818499460648	0.854392552383765	0.6519713101198624	0.9747922020505544	0.6313715193432488	0.9960119743183202	0.8346558920771432	0.9786774993295594
ENOG410ZTQ8	2	5	7	0	7	7	time_baseline	0.7867087899258056	0.5234064751167213	0.9980701878125452	0.7250216429254529	0.8689942497792744	0.7515241342186944	0.8531174616018853	0.7868273780260657
K07232	2	5	7	0	7	7	time_baseline	0.8608556184623225	0.9389196342035928	0.9963245156057842	0.8347436347024587	0.8624078291651107	0.7067218732257478	0.889539388922149	0.7973324534114147
K07229	3	4	7	0	7	7	time_baseline	0.8299379923303025	0.7796825736693968	0.9974182968747124	0.802466819945156	0.5870824153111849	0.92731497809102	0.7472188795359883	0.9683819828846598
K07127	3	4	7	0	7	7	time_baseline	0.8851992005565261	0.9348013775918844	0.9172597687666731	0.7184992143575903	0.9271808780913984	0.865217479448779	0.952448971284266	0.8809867143550916
ENOG410ZVBZ	4	3	7	0	7	7	time_baseline	0.7398841397722778	0.6612822209098358	0.918104312037489	0.6555434409907452	0.9691341230681568	0.5459580262935455	0.5371865039827582	0.8919803511234139
N_LP.1050	2	5	7	0	7	7	time_baseline	0.7498878587380171	0.7927173937162617	0.830599261283482	0.5050276623350081	0.9562276559076685	0.7673352848175469	0.7120648233482683	0.6852429297578848
N_LP.1054	2	5	7	0	7	7	time_baseline	0.829391426255909	0.969576890368209	0.9933247923914496	0.7118558888128784	0.9582922953451836	0.5984390251312997	0.7047300927968587	0.8695209989454842
N_LP.1057	4	3	0	7	7	7	time_endpoint	0.6600635429656628	0.5324918048166908	0.5565369293650498	0.6017170140514554	0.6698987625943595	0.639881989045827	0.8799710171285481	0.7399472837577089
ENOG410ZVE2	0	7	6	1	7	7	diet_meat	0.8113988880034407	0.8697769216315118	0.663248228104317	0.9984034308802952	0.6932445502470655	0.972981665018327	0.7182791436635843	0.7638582764789836
N_LP.106	0	7	6	1	7	7	diet_meat	0.7952077369853939	0.8236925197152282	0.8049935546522428	0.9986051968923088	0.8064582250105788	0.7894799504342175	0.5076239192811589	0.835600792912023
N_LP.1060	0	7	2	5	7	7	diet_meat	0.7826582057706106	0.923695519225796	0.5493219654792175	0.946419339302674	0.7258569205416101	0.6542677171110205	0.8503577826996993	0.8286881960342574
P_LP.2241	4	3	0	7	7	7	time_endpoint	0.7162057498614157	0.7730580295101294	0.995641706514153	0.6967885506693974	0.6036626905178514	0.7022864899681289	0.6611510055741645	0.5808517762760855
K07149	3	4	0	7	7	7	time_endpoint	0.8159100836562235	0.8162716225298584	0.5064000617912369	0.7936466863600441	0.9936987043985004	0.7503113055735782	0.8605571161586935	0.9904850887816538
N_LP.1065	4	3	0	7	7	7	time_endpoint	0.8290528459406186	0.7924895865105799	0.9938458814924388	0.6492664272397307	0.9451545761098348	0.692431422480933	0.9584759771550356	0.7717060505957762
K07147	2	5	7	0	7	7	time_baseline	0.7702546540382567	0.918223450344128	0.9795500025268395	0.5197058597343027	0.9170131719583936	0.943668690426502	0.5365496716705762	0.5770717316070539
K07140	3	4	7	0	7	7	time_baseline	0.7188961722799372	0.5212108697259468	0.836873182563111	0.5071818820863788	0.6554646515444194	0.8001461170466919	0.7950566835415181	0.916339819451494
ENOG410ZVFU	3	4	7	0	7	7	time_baseline	0.7138025252765159	0.9717497755005622	0.7402803677453482	0.520987870384127	0.9311616781830414	0.6437895195898632	0.5256661744250286	0.6629822911076404
K07781	3	4	7	0	7	7	time_baseline	0.8819450629751657	0.9446038680640836	0.933808083345372	0.7429792614834738	0.8300731613786702	0.8634615230042557	0.9974788895004808	0.861210654049825
ENOG410Z5RD	3	4	7	0	7	7	time_baseline	0.7328709521439322	0.9345670803249304	0.8743199895210307	0.7021553170393778	0.5026692921626879	0.584815588279217	0.8398257392528932	0.6917436584273888
P_LP.3010	4	3	0	7	7	7	time_endpoint	0.7163826919591385	0.8943648818489676	0.8653963704876566	0.6030114362490145	0.5060019516603057	0.6056345319984996	0.9347832799016992	0.6054863915678259
K09803	0	7	5	2	7	7	diet_meat	0.7983952651074675	0.7233485655215617	0.6285775939756085	0.9957133480114144	0.8978580632585687	0.6576153617684546	0.8468394064497451	0.83881451676692
K09798	0	7	7	0	7	7	diet_meat	0.7989746104152703	0.7628013426616799	0.7959798920336234	0.9970672639500664	0.8917718683222067	0.7804630613402511	0.5503838897514918	0.814354954847572
K09793	7	0	5	2	7	7	diet_dairy	0.8214014723097718	0.9333944933756456	0.606602318777183	0.6546659870659208	0.9504821738828466	0.7577125808444335	0.9131751950378346	0.9337775571845384
K09787	4	3	0	7	7	7	time_endpoint	0.7859290726229126	0.800362121915791	0.8380899506592742	0.6676075259153994	0.9389509935467832	0.7090497726530288	0.7628459331112696	0.7845972105588408
K09781	0	7	6	1	7	7	diet_meat	0.691716951488132	0.5317152259168372	0.5680387204481796	0.9986757750740516	0.8046614421857358	0.6145673799079318	0.820570870879113	0.5037892460050745
ENOG410YIF1	5	2	7	0	7	7	time_baseline	0.7824958143056537	0.7597256146477885	0.9971727820053818	0.6205658374841058	0.969028235692543	0.8430179825040727	0.751741212803433	0.536219035002252
P_LP.242	0	7	5	2	7	7	diet_meat	0.803797979121119	0.7058638579460432	0.797767562545101	0.998771002180476	0.5704910068836845	0.8773688149130716	0.7864426698195014	0.889880939559957
ENOG410YIHX	4	3	0	7	7	7	time_endpoint	0.8507732302936024	0.9641646539978136	0.994872576719328	0.7437614658663159	0.990432649153596	0.9054328246722492	0.5316391180818435	0.8251093235640713
ENOG410YJGU	5	2	0	7	7	7	time_endpoint	0.62618334455396	0.6541786973778778	0.7463821123316439	0.5514987927188302	0.5159432431848503	0.531754148283793	0.6830531634463386	0.7004732545343862
P_AQ.1040	1	6	7	0	7	7	time_baseline	0.8044748777112815	0.9971441112812146	0.5427717284205666	0.6213684608702408	0.9698769782052068	0.8095308715437561	0.7493179851909603	0.9413140084670254
K09766	3	4	0	7	7	7	time_endpoint	0.7975624054883957	0.9105867912390958	0.7865277979953764	0.6482333059489935	0.8207302672620357	0.8651069234853471	0.9296761886307334	0.622075563857188
