Supplementary Table 3. Differential abundance analysis results across meat and dairy groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Mann Whitney U test raw p-value	FDR 
COG1760	L-serine deaminase	Amino acid transport and metabolism	0.147612354	Meat	0.17177907	0.751940949
COG0551	Zn-finger domain associated with topoisomerase type I	"DNA replication, recombination and repair"	0.159030449	Meat	0.17177907	0.751940949
COG0825	Acetyl-CoA carboxylase alpha subunit	Lipid metabolism	0.204453297	Meat	0.17177907	0.751940949
COG2848	Uncharacterized conserved protein	Function unknown	0.205043505	Meat	0.17177907	0.751940949
ENOG410XUZ1		Function unknown	0.207055431	Meat	0.17177907	0.751940949
PF10105	[Uncharacterized protein conserved in bacteria (DUF2344)]		0.219933302	Meat	0.17177907	0.751940949
PF01471	[Putative peptidoglycan binding domain]		0.228442218	Meat	0.17177907	0.751940949
COG3049	Penicillin V acylase and related amidases	"Cell envelope biogenesis, outer membrane"	0.236846894	Meat	0.17177907	0.751940949
COG3757	"Lyzozyme M1 (1,4-beta-N-acetylmuramidase)"	"Cell envelope biogenesis, outer membrane"	0.237203941	Meat	0.17177907	0.751940949
ENOG4111UXX	Stage v sporulation protein ae	Function unknown	0.240289472	Meat	0.17177907	0.751940949
PF19127	[]		0.266154044	Meat	0.17177907	0.751940949
COG2088	"Uncharacterized protein, involved in the regulation of septum location"	"Cell envelope biogenesis, outer membrane"	0.295661043	Meat	0.17177907	0.751940949
K01999	branched-chain amino acid transport system substrate-binding protein	Environmental Information Processing; Membrane transport; ABC transporters | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.310506899	Meat	0.17177907	0.751940949
K01420	"CRP/FNR family transcriptional regulator, anaerobic regulatory protein"	Brite Hierarchies; Protein families: genetic information processing; Transcription factors	0.311245076	Meat	0.17177907	0.751940949
COG2049	Allophanate hydrolase subunit 1	Amino acid transport and metabolism	0.366923286	Meat	0.17177907	0.751940949
PF13458	[Periplasmic binding protein]		0.373681864	Meat	0.17177907	0.751940949
ENOG4111DS9	"acetyltransferase, (GT) family"	Function unknown	0.377248983	Meat	0.17177907	0.751940949
COG0510	Predicted choline kinase involved in LPS biosynthesis	"Cell envelope biogenesis, outer membrane"	0.405059363	Meat	0.17177907	0.751940949
ENOG410XW3I		Function unknown	0.421081278	Meat	0.17177907	0.751940949
PF05257	[CHAP domain]		0.43345923	Meat	0.17177907	0.751940949
COG4213	"ABC-type xylose transport system, periplasmic component"	Carbohydrate transport and metabolism	0.436122697	Meat	0.17177907	0.751940949
K12297	23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]	Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis	0.553213378	Meat	0.17177907	0.751940949
ENOG410XRAD	Major Facilitator	Carbohydrate transport and metabolism	0.557209594	Meat	0.17177907	0.751940949
PF05035	[2-keto-3-deoxy-galactonokinase]		0.695385812	Meat	0.17177907	0.751940949
ENOG410ZVPQ		Function unknown	0.705487896	Meat	0.17177907	0.751940949
PF14620	[YpeB sporulation]		0.858639577	Meat	0.17177907	0.751940949
K13933	malonate decarboxylase gamma subunit [EC:4.1.1.87]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	0.855847286	Meat	0.171821576	0.751940949
K19092	toxin ParE1/3/4	Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system	0.519458014	Meat	0.171829063	0.751940949
ENOG4111V51	RecT family	"Replication, recombination and repair"	0.815772411	Meat	0.172833432	0.751940949
K00105	alpha-glycerophosphate oxidase [EC:1.1.3.21]	Metabolism; Lipid metabolism; Glycerophospholipid metabolism	0.992381801	Meat	0.173322317	0.751940949
PF11412	[Disulphide bond corrector protein DsbC]		0.937668258	Meat	0.173834771	0.751940949
K12269	accessory secretory protein Asp2	Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	0.80711938	Meat	0.174237759	0.751940949
COG3071	Uncharacterized enzyme of heme biosynthesis	Coenzyme metabolism	0.999990836	Meat	0.174237759	0.751940949
ENOG4111KIH		Function unknown	0.963690409	Meat	0.174493398	0.751940949
K12264	anaerobic nitric oxide reductase flavorubredoxin	Human Diseases; Infectious diseases: Bacterial; Salmonella infection	0.689185359	Meat	0.174517127	0.751940949
ENOG4111X9P	lipoprotein ysaB	Function unknown	0.991532429	Meat	0.174935015	0.751940949
K02391	flagellar basal-body rod protein FlgF	Cellular Processes; Cell motility; Flagellar assembly | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins	0.995003641	Meat	0.174935015	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Clostridiales.Family.XIII..Incertae.Sedis.g_Clostridiales.Family..no.genus.in.NCBI..s_Clostridiales.Family	NA	NA	0.701533798	Meat	0.17512528	0.751940949
COG3685	Uncharacterized protein conserved in bacteria	Function unknown	1.085754847	Meat	0.175483112	0.751940949
ENOG4111X9I	Mn2 dependent serine threonine protein kinase	Function unknown	1.116582586	Meat	0.175483112	0.751940949
K09880	enolase-phosphatase E1 [EC:3.1.3.77]	Metabolism; Amino acid metabolism; Cysteine and methionine metabolism	0.743409227	Meat	0.175796929	0.751940949
K02682	prepilin peptidase dependent protein D	Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	0.923921433	Meat	0.176312021	0.751940949
K19354	heptose III glucuronosyltransferase [EC:2.4.1.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	1.05455672	Meat	0.176319408	0.751940949
PF02798	"[Glutathione S-transferase, N-terminal domain]"		1.081132276	Meat	0.176609973	0.751940949
COG2133	Glucose/sorbosone dehydrogenases	Carbohydrate transport and metabolism	1.085589685	Meat	0.176609973	0.751940949
COG1495	Disulfide bond formation protein DsbB	"Posttranslational modification, protein turnover, chaperones"	0.979108177	Meat	0.176841547	0.751940949
PF16154	[Domain of unknown function (DUF4862)]		1.188135434	Meat	0.176841547	0.751940949
K08314	fructose-6-phosphate aldolase 2 [EC:4.1.2.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	0.86588998	Meat	0.177015133	0.751940949
K06957	tRNA(Met) cytidine acetyltransferase [EC:2.3.1.193]	Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	0.868306306	Meat	0.177015133	0.751940949
ENOG410XS0Z	(LipO)protein	Function unknown	1.061880834	Meat	0.177015133	0.751940949
COG3256	Nitric oxide reductase large subunit	Inorganic ion transport and metabolism	1.121042887	Meat	0.177015133	0.751940949
COG1944	Uncharacterized conserved protein	Function unknown	0.870390006	Meat	0.177139072	0.751940949
PF19554	[]		0.683633558	Meat	0.177271228	0.751940949
ENOG410YMMR		Function unknown	1.418273065	Meat	0.177271228	0.751940949
COG2005	N-terminal domain of molybdenum-binding protein	General function prediction only	0.753638303	Meat	0.177296002	0.751940949
ENOG410XS0I	PAC2 family	Function unknown	0.8899289	Meat	0.177296002	0.751940949
PF02421	[Ferrous iron transport protein B]		0.054025541	Meat	0.177304259	0.751940949
COG0771	UDP-N-acetylmuramoylalanine-D-glutamate ligase	"Cell envelope biogenesis, outer membrane"	0.06263764	Meat	0.177304259	0.751940949
COG0548	Acetylglutamate kinase	Amino acid transport and metabolism	0.063615996	Meat	0.177304259	0.751940949
K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins	0.071368391	Meat	0.177304259	0.751940949
K01810	glucose-6-phosphate isomerase [EC:5.3.1.9]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	0.088982046	Meat	0.177304259	0.751940949
COG0708	Exonuclease III	"DNA replication, recombination and repair"	0.107233527	Meat	0.177304259	0.751940949
COG2001	Uncharacterized protein conserved in bacteria	Function unknown	0.110375637	Meat	0.177304259	0.751940949
PF02381	"[MraZ protein, putative antitoxin-like]"		0.122591817	Meat	0.177304259	0.751940949
PF03947	"[Ribosomal Proteins L2, C-terminal domain]"		0.12544865	Meat	0.177304259	0.751940949
COG1621	Beta-fructosidases (levanase/invertase)	Carbohydrate transport and metabolism	0.140393537	Meat	0.177304259	0.751940949
PF05362	[Lon protease (S16) C-terminal proteolytic domain]		0.150610037	Meat	0.177304259	0.751940949
COG1012	NAD-dependent aldehyde dehydrogenases	Energy production and conversion	0.175649505	Meat	0.177304259	0.751940949
K03216	tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]	Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	0.18415961	Meat	0.177304259	0.751940949
PF02353	[Mycolic acid cyclopropane synthetase]		0.20033173	Meat	0.177304259	0.751940949
PF07136	[Protein of unknown function (DUF1385)]		0.207796532	Meat	0.177304259	0.751940949
PF00563	[EAL domain]		0.209583886	Meat	0.177304259	0.751940949
ENOG410XYZ9		Function unknown	0.222637767	Meat	0.177304259	0.751940949
COG1027	Aspartate ammonia-lyase	Amino acid transport and metabolism	0.223953107	Meat	0.177304259	0.751940949
COG2184	Protein involved in cell division	Cell division and chromosome partitioning	0.257911431	Meat	0.177304259	0.751940949
PF14478	[Domain of unknown function (DUF4430)]		0.338893569	Meat	0.177304259	0.751940949
COG2826	"Transposase and inactivated derivatives, IS30 family"	"DNA replication, recombination and repair"	0.357764194	Meat	0.177304259	0.751940949
COG1887	Putative glycosyl/glycerophosphate transferases involved in teichoic acid biosynthesis TagF/TagB/EpsJ/RodC	"Cell envelope biogenesis, outer membrane"	0.366373834	Meat	0.177304259	0.751940949
PF09339	[IclR helix-turn-helix domain]		0.388964884	Meat	0.177304259	0.751940949
COG3878	Uncharacterized protein conserved in bacteria	Function unknown	0.454762275	Meat	0.177304259	0.751940949
COG2513	PEP phosphonomutase and related enzymes	Carbohydrate transport and metabolism	0.461927881	Meat	0.177304259	0.751940949
COG1886	Flagellar motor switch/type III secretory pathway protein	Cell motility and secretion	0.47343291	Meat	0.177304259	0.751940949
K01478	arginine deiminase [EC:3.5.3.6]	Metabolism; Amino acid metabolism; Arginine biosynthesis	0.480343955	Meat	0.177304259	0.751940949
PF13780	[Domain of unknown function (DUF4176)]		0.490647573	Meat	0.177304259	0.751940949
ENOG410XPRN	Membrane	Function unknown	0.546920693	Meat	0.177304259	0.751940949
ENOG4111P8P		Function unknown	0.575209183	Meat	0.177304259	0.751940949
PF02551	[Acyl-CoA thioesterase]		0.651497727	Meat	0.177304259	0.751940949
K00127	formate dehydrogenase subunit gamma	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism	0.652375799	Meat	0.177304259	0.751940949
PF17092	[Penicillin-binding protein OB-like domain]		0.754542153	Meat	0.177304259	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Clostridiaceae.g_Clostridium.s_Clostridium.paraputrificum	NA	NA	1.197311629	Meat	0.177304259	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Blautia.s_Blautia.caecimuris	NA	NA	1.324996251	Meat	0.177304259	0.751940949
ENOG410YG0G	His Kinase A (phospho-acceptor) domain	Signal transduction mechanisms	1.213046621	Meat	0.1774501	0.751940949
COG2336	Growth regulator	Signal transduction mechanisms	1.238886852	Meat	0.1774501	0.751940949
ENOG4111FTJ	Periplasmic chaperone protein	Function unknown	0.422045038	Meat	0.17758962	0.751940949
ENOG41121WE	#NAME?	Function unknown	0.686739035	Meat	0.177605455	0.751940949
ENOG4111J72	Abi-like protein	Function unknown	1.071676977	Meat	0.177734176	0.751940949
K13019	UDP-GlcNAc3NAcA epimerase [EC:5.1.3.23]	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	1.091356905	Meat	0.179271883	0.751940949
ENOG410XQWW	maltose operon periplasmic protein	Carbohydrate transport and metabolism	0.961844023	Meat	0.17941806	0.751940949
COG3921	Uncharacterized protein conserved in bacteria	Function unknown	0.946760024	Meat	0.17958901	0.751940949
K12370	dipeptide transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.798066278	Meat	0.179825356	0.751940949
COG3026	Negative regulator of sigma E activity	Signal transduction mechanisms	0.847337652	Meat	0.179825356	0.751940949
COG0003	Oxyanion-translocating ATPase	Inorganic ion transport and metabolism	1.049714604	Meat	0.179825356	0.751940949
ENOG4112823	Protein of unknown function (DUF2695)	Function unknown	0.811229858	Meat	0.180488683	0.751940949
ENOG410YMTX	NUDiX hydrolase	Function unknown	1.1240999	Meat	0.180566548	0.751940949
ENOG4111XTW		Function unknown	1.429969754	Meat	0.180600928	0.751940949
K01826	5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]	Metabolism; Amino acid metabolism; Tyrosine metabolism	0.776788814	Meat	0.180699908	0.751940949
ENOG4111W94	GCN5-related N-acetyltransferase	Function unknown	0.643266648	Meat	0.18108931	0.751940949
K04774	serine protease SohB [EC:3.4.21.-]	Brite Hierarchies; Protein families: metabolism; Peptidases	0.891612697	Meat	0.181120471	0.751940949
K03603	"GntR family transcriptional regulator, negative regulator for fad regulon and positive regulator of fabA"	Brite Hierarchies; Protein families: genetic information processing; Transcription factors	0.934482357	Meat	0.181120471	0.751940949
K03490	"AraC family transcriptional regulator, dual regulator of chb operon"	Brite Hierarchies; Protein families: genetic information processing; Transcription factors	0.939462193	Meat	0.181120471	0.751940949
ENOG41120VY	fimbrial-like adhesin protein	Function unknown	1.068833329	Meat	0.181319201	0.751940949
K03923	modulator of drug activity B	Not Included in Pathway or Brite; Poorly characterized; General function prediction only	0.803614056	Meat	0.181581424	0.751940949
ENOG410XYP6	enhanced serine sensitivity protein SseB	Function unknown	1.065903786	Meat	0.181581424	0.751940949
ENOG4110MQC	acetyltransferase	Function unknown	0.87052658	Meat	0.181958128	0.751940949
K03611	disulfide bond formation protein DsbB	Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts	0.996021451	Meat	0.181958128	0.751940949
K18959	ATP-dependent DNA helicase UvsW [EC:3.6.4.12]	Brite Hierarchies; Protein families: signaling and cellular processes; Viral proteins	0.459627554	Meat	0.181976424	0.751940949
ENOG410XWND	Phage integrase	Function unknown	1.076438635	Meat	0.18200269	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Merdimonas.s_Merdimonas.faecis	NA	NA	1.089374348	Meat	0.182208165	0.751940949
ENOG410ZXHU	oxidoreductase Domain protein	Function unknown	0.855224117	Meat	0.182259206	0.751940949
K12339	S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]	Metabolism; Amino acid metabolism; Cysteine and methionine metabolism	0.845291751	Meat	0.182493204	0.751940949
K05790	lipopolysaccharide biosynthesis protein WzzE	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins	0.891971628	Meat	0.182493204	0.751940949
COG3058	Uncharacterized protein involved in formate dehydrogenase formation	"Posttranslational modification, protein turnover, chaperones"	0.911583026	Meat	0.182493204	0.751940949
COG3725	Membrane protein required for beta-lactamase induction	"('{} (path not available)', 'COG3725')"	1.029742514	Meat	0.182493204	0.751940949
COG3061	Cell envelope opacity-associated protein A	"Cell envelope biogenesis, outer membrane"	0.864666211	Meat	0.182668601	0.751940949
K00113	glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]	Metabolism; Lipid metabolism; Glycerophospholipid metabolism	0.774391942	Meat	0.182793832	0.751940949
K07262	serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7) [EC:3.4.21.-]	Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins	0.875972777	Meat	0.182793832	0.751940949
K06211	"HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]"	Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism | Brite Hierarchies; Protein families: genetic information processing; Transcription factors	0.764801498	Meat	0.182877296	0.751940949
K02507	protein transport protein HofQ	Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	0.819848372	Meat	0.182877296	0.751940949
K15372	taurine---2-oxoglutarate transaminase [EC:2.6.1.55]	Metabolism; Metabolism of other amino acids; beta-Alanine metabolism | Metabolism; Metabolism of other amino acids; Taurine and hypotaurine metabolism	1.506973121	Meat	0.182877296	0.751940949
PF03349	[Outer membrane protein transport protein (OMPP1/FadL/TodX)]		0.771945204	Meat	0.182927364	0.751940949
COG1062	"Zn-dependent alcohol dehydrogenases, class III"	Energy production and conversion	0.856950696	Meat	0.182927364	0.751940949
K00917	tagatose 6-phosphate kinase [EC:2.7.1.144]	Metabolism; Carbohydrate metabolism; Galactose metabolism	0.749133061	Meat	0.182952396	0.751940949
PF03222	[Tryptophan/tyrosine permease family]		0.912315886	Meat	0.182952396	0.751940949
ENOG4111KPG		Function unknown	1.1236306	Meat	0.182952396	0.751940949
K03976	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-]	Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	0.061454181	Meat	0.182960739	0.751940949
COG0796	Glutamate racemase	"Cell envelope biogenesis, outer membrane"	0.06870992	Meat	0.182960739	0.751940949
PF00988	"[Carbamoyl-phosphate synthase small chain, CPSase domain]"		0.077873302	Meat	0.182960739	0.751940949
PF01812	[5-formyltetrahydrofolate cyclo-ligase family]		0.080343186	Meat	0.182960739	0.751940949
K02834	ribosome-binding factor A	Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis	0.081135306	Meat	0.182960739	0.751940949
PF01817	[Chorismate mutase type II]		0.087520919	Meat	0.182960739	0.751940949
ENOG4112C9W		Function unknown	0.096987039	Meat	0.182960739	0.751940949
PF02673	[Bacitracin resistance protein BacA]		0.105826764	Meat	0.182960739	0.751940949
PF04204	[Homoserine O-succinyltransferase ]		0.109906237	Meat	0.182960739	0.751940949
COG1195	Recombinational DNA repair ATPase (RecF pathway)	"DNA replication, recombination and repair"	0.118841629	Meat	0.182960739	0.751940949
COG1015	Phosphopentomutase	Carbohydrate transport and metabolism	0.133019787	Meat	0.182960739	0.751940949
COG1063	Threonine dehydrogenase and related Zn-dependent dehydrogenases	General function prediction only|Amino acid transport and metabolism	0.167394556	Meat	0.182960739	0.751940949
PF02615	[Malate/L-lactate dehydrogenase]		0.176218289	Meat	0.182960739	0.751940949
COG0629	Single-stranded DNA-binding protein	"DNA replication, recombination and repair"	0.181500321	Meat	0.182960739	0.751940949
K00611	ornithine carbamoyltransferase [EC:2.1.3.3]	Metabolism; Amino acid metabolism; Arginine biosynthesis	0.199172612	Meat	0.182960739	0.751940949
COG1847	Predicted RNA-binding protein	General function prediction only	0.203772246	Meat	0.182960739	0.751940949
ENOG410XR2K	regulatoR	Signal transduction mechanisms	0.220130977	Meat	0.182960739	0.751940949
PF12161	[HsdM N-terminal domain]		0.221684446	Meat	0.182960739	0.751940949
PF07451	[Stage V sporulation protein AD (SpoVAD)]		0.233431715	Meat	0.182960739	0.751940949
COG2501	Uncharacterized conserved protein	Function unknown	0.253728552	Meat	0.182960739	0.751940949
PF00142	"[4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family]"		0.275828632	Meat	0.182960739	0.751940949
PF00665	[Integrase core domain]		0.281221615	Meat	0.182960739	0.751940949
ENOG41123UM	Hydrid cluster protein-associated redox disulfide domain protein	Function unknown	0.285730036	Meat	0.182960739	0.751940949
ENOG4111PGV		Function unknown	0.31213693	Meat	0.182960739	0.751940949
PF13308	[YARHG domain]		0.317904242	Meat	0.182960739	0.751940949
PF00550	[Phosphopantetheine attachment site]		0.339445438	Meat	0.182960739	0.751940949
PF00108	"[Thiolase, N-terminal domain]"		0.360553573	Meat	0.182960739	0.751940949
COG1840	"ABC-type Fe3+ transport system, periplasmic component"	Inorganic ion transport and metabolism	0.3640958	Meat	0.182960739	0.751940949
PF01470	[Pyroglutamyl peptidase]		0.391290972	Meat	0.182960739	0.751940949
PF12994	"[Domain of unknown function, E. rectale Gene description (DUF3878)]"		0.403102888	Meat	0.182960739	0.751940949
ENOG41121RG		Function unknown	0.419025701	Meat	0.182960739	0.751940949
PF02274	[Amidinotransferase]		0.425980511	Meat	0.182960739	0.751940949
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Streptococcaceae.g_Streptococcus.s_Streptococcus.pneumoniae	NA	NA	0.428854632	Meat	0.182960739	0.751940949
COG1765	"Predicted redox protein, regulator of disulfide bond formation"	"Posttranslational modification, protein turnover, chaperones"	0.439273439	Meat	0.182960739	0.751940949
ENOG410XQE2	abc transporter permease protein	Defense mechanisms	0.446491828	Meat	0.182960739	0.751940949
PF14019	[Protein of unknown function (DUF4235)]		0.456072127	Meat	0.182960739	0.751940949
ENOG4111QKP		Function unknown	0.504514447	Meat	0.182960739	0.751940949
K01191	alpha-mannosidase [EC:3.2.1.24]	Metabolism; Glycan biosynthesis and metabolism; Other glycan degradation | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking	0.541867069	Meat	0.182960739	0.751940949
COG1487	"Predicted nucleic acid-binding protein, contains PIN domain"	General function prediction only	0.589707579	Meat	0.182960739	0.751940949
COG2968	Uncharacterized conserved protein	Function unknown	0.637119682	Meat	0.182960739	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Lachnospira.s_Lachnospira.eligens	NA	NA	0.905553175	Meat	0.182960739	0.751940949
COG3529	Predicted nucleic-acid-binding protein containing a Zn-ribbon domain	General function prediction only	0.939116084	Meat	0.182972727	0.751940949
PF01474	[Class-II DAHP synthetase family]		0.477741014	Meat	0.183378977	0.751940949
COG3204	Uncharacterized protein conserved in bacteria	Function unknown	1.007087158	Meat	0.183392219	0.751940949
ENOG4111YBI	Fimbrial protein	Function unknown	0.195695706	Meat	0.184368744	0.751940949
ENOG410XNQA	LysR family (Transcriptional regulator	Transcription	1.086067251	Meat	0.184452368	0.751940949
ENOG410YCFW		Function unknown	1.050865033	Meat	0.184836954	0.751940949
K10241	cellobiose transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.88262795	Meat	0.184894782	0.751940949
K05589	cell division protein FtsB	Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	1.020337392	Meat	0.184894782	0.751940949
COG3029	Fumarate reductase subunit C	Energy production and conversion	0.884119711	Meat	0.185133582	0.751940949
K03535	"MFS transporter, ACS family, glucarate transporter"	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.912624301	Meat	0.185545038	0.751940949
K01630	2-dehydro-3-deoxyglucarate aldolase [EC:4.1.2.20]	Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism	0.81777749	Meat	0.185669194	0.751940949
K09907	uncharacterized protein	Not Included in Pathway or Brite; Poorly characterized; Function unknown	0.861620911	Meat	0.185669194	0.751940949
K16092	vitamin B12 transporter	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.716522396	Meat	0.185830256	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Dysosmobacter.s_Unclassified.Dysosmobacter	NA	NA	1.454119006	Meat	0.185889031	0.751940949
ENOG4111G0A		Function unknown	1.177157829	Meat	0.186127043	0.751940949
PF05689	[Salmonella repeat of unknown function (DUF823)]		1.480191357	Meat	0.186127043	0.751940949
PF05688	[Salmonella repeat of unknown function (DUF824)]		1.482680302	Meat	0.186127043	0.751940949
ENOG410XZ8Y		Function unknown	0.787916401	Meat	0.186538929	0.751940949
COG3787	Uncharacterized protein conserved in bacteria	Function unknown	0.787724429	Meat	0.186891169	0.751940949
K09161	uncharacterized protein	Not Included in Pathway or Brite; Poorly characterized; Function unknown	0.9234496	Meat	0.186891169	0.751940949
K03828	putative acetyltransferase [EC:2.3.1.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	0.775372405	Meat	0.187356774	0.751940949
K07323	phospholipid transport system substrate-binding protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.856879207	Meat	0.187356774	0.751940949
K03573	DNA mismatch repair protein MutH	Genetic Information Processing; Replication and repair; Mismatch repair | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	0.911416034	Meat	0.187356774	0.751940949
K12973	lipid IVA palmitoyltransferase [EC:2.3.1.251]	Human Diseases; Infectious diseases: Bacterial; Pertussis | Human Diseases; Drug resistance: Antimicrobial; Cationic antimicrobial peptide (CAMP) resistance | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	0.963370068	Meat	0.187356774	0.751940949
ENOG410Y8K6		Function unknown	1.194666539	Meat	0.187356774	0.751940949
ENOG4111YYX	Protein of unknown function (DUF2946)	Function unknown	0.938919145	Meat	0.187639225	0.751940949
ENOG4111UW1	(LipO)protein	Function unknown	0.823155117	Meat	0.187660937	0.751940949
ENOG4112AUV	Pfam:Transposase_35	"Replication, recombination and repair"	0.977506219	Meat	0.187660937	0.751940949
K03672	thioredoxin 2 [EC:1.8.1.8]	Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts	0.838497621	Meat	0.187737263	0.751940949
K03643	LPS-assembly lipoprotein	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.937174755	Meat	0.187737263	0.751940949
ENOG410ZVHQ	"Type iii restriction enzyme, res subunit"	Defense mechanisms	1.262277203	Meat	0.187820738	0.751940949
ENOG4111D1K	S-layer homology domain	Function unknown	0.929896314	Meat	0.188041356	0.751940949
K02441	GlpG protein	Not Included in Pathway or Brite; Poorly characterized; General function prediction only	0.971360686	Meat	0.188041356	0.751940949
COG4171	"ABC-type antimicrobial peptide transport system, permease component"	"('{} (path not available)', 'COG4171')"	0.994590233	Meat	0.188277689	0.751940949
K00246	fumarate reductase subunit C	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Environmental Information Processing; Signal transduction; Two-component system	0.765981584	Meat	0.188454834	0.751940949
PF13406	[Transglycosylase SLT domain]		0.770909566	Meat	0.188454834	0.751940949
